"2","07-21-2010 Flood"
"3","12-28-2015 Flood"
"4","14th - Tucker Median"
"5","Actvt Court Warrant"
"6","Add Block Contact"
"7","Affordable Care Act"
"8","Alter Hist No Permit"
"9","Animal Abuse"
"10","Animal Bite"
"11","Animal(s) Surrender"
"12","APPEARANCE"
"13","Asbestos"
"14","Athletic Fields"
"15","Bad Condition"
"16","Bad Condition ROW"
"17","Bad Drain/Sewer, Ext"
"18","Bad Drain/Sewer, Int"
"19","Bagged Leaf Pickup"
"20","Ballfield Benches"
"21","Bats"
"22","Bed Bugs"
"23","Bike Lane Issues "
"24","Billboard Inspection"
"25","Birds-Food Cntrl"
"26","Blitz Items"
"27","Broken/Hanging Limb"
"28","Building Collapse"
"29","Bulky items missed"
"30","Carriage Horses"
"31","Cart dumped incomplt"
"32","Cave-Ins"
"33","CEMA"
"34","Census Info Call"
"35","CFPB Referral"
"36","Check Welfare"
"37","Child Center"
"38","Child Center, Ext"
"39","Child Center, Int"
"40","CHK-JOBSITE"
"41","City Tree Down"
"42","City Tree Limb Down"
"43","CIVIL UNREST"
"44","Clean Picnic Tables"
"45","Cntainr near window"
"46","Cntainr too heavy"
"47","Cntnr blocking"
"48","Cntnr knocking wires"
"49","Cntnr out of postion"
"50","Cntnr overflow/bulky"
"51","Cntnr turned"
"52","Comml coll after hrs"
"53","Comml Dumpster, Ext"
"54","Cons/Traffic Concern"
"55","Const Hist No Permit"
"56","Const No Permit-Ext"
"57","Const No Permit-Int"
"58","Construction"
"59","Containr damaged"
"60","Containr not level"
"61","Containr smells bad"
"62","Contract Bridge Work"
"63","Contract Park Work"
"64","Contract Pub Bldg Wk"
"65","Contract Street Work"
"66","Corrections"
"67","Critical Sign  "
"68","CSB Record Request"
"69","Curb Painting"
"70","Curb Repair"
"71","Cut FnceLine/TreeLwn"
"72","Cut Median-Pkwy"
"73","Dangerous Animal"
"74","Dangerous Dog"
"75","Day Care/Childcare"
"76","Dead Animal"
"77","Dead Animal, Ext"
"78","Dead Dog-ACC"
"79","Dead Limbs in Park"
"80","Debris - Street"
"81","Debris-alley/street"
"82","Debris-Occupied Bldg"
"83","Debris-Vacant Bldg"
"84","Debris-Vacant Lot"
"85","Defective Plumbing"
"86","Defective Toilet"
"87","Demo Blowing Dust"
"88","Demolition No Permit"
"89","Derelict-Privt Ppty"
"90","Derelict-Rt of Way"
"91","Derelict-Veh PP"
"92","Derelict-Veh ROW"
"93","Did not get cart"
"94","Disabled Parking"
"95","Dust/Dirt Emission"
"96","Electrical Insp"
"97","Enforce Ordinace"
"98","Evictions"
"99","FH-MAINTENANCE"
"100","FH-RUNNING"
"101","Fill Dirt Request"
"102","Fire Escapes-Exits"
"103","Fire Exit Insp"
"104","Fire Public Relation"
"105","Food Estab. Problem"
"106","Food worker ill"
"107","Foodbourne Illness"
"108","Foodbrne Ill - Tweet"
"109","Foodbrne Ill - Yelp"
"110","Foreman cntct citizn"
"111","Fountains"
"112","Fumes/Smells/Odors"
"113","Graffiti-Illegal"
"114","Graffiti-Park Equip"
"115","Graffiti-Private"
"116","Graffiti-Prvt Dmpstr"
"117","Graffiti-Public"
"118","Handicapped Parking"
"119","Hazrds Waste"
"120","Hazrds Waste, Ext"
"121","Hazrds Waste, Int"
"122","High Grass in Park"
"123","Hole-bottom of cont"
"124","HOLE-DEPRESSION"
